slno,year,dtstrict,afso,fps,April_Cards,April_FRice (Kgs),April_Flood Dal (Kgs),April_Flood Onion (Kgs),April_Flood Poil (Kgs),April_Flood Potato (Kgs),April_Flood Rice (Kgs),April_Flood Sugar HK (Kgs),April_Jowar (Kgs),April_RG Dal One kg Pkt (Kgs),April_Raagi (Kgs),April_SUGAR HALF KG (Kgs),April_WM Atta Pkt (Kgs),April_Whole Wheat Atta (Kgs),February_Cards,February_FRice (Kgs),February_Flood Dal (Kgs),February_Flood Onion (Kgs),February_Flood Poil (Kgs),February_Flood Potato (Kgs),February_Flood Rice (Kgs),February_Flood Sugar HK (Kgs),February_Jowar (Kgs),February_RG Dal One kg Pkt (Kgs),February_Raagi (Kgs),February_SUGAR HALF KG (Kgs),February_WM Atta Pkt (Kgs),February_Whole Wheat Atta (Kgs),January_Cards,January_FRice (Kgs),January_Flood Dal (Kgs),January_Flood Onion (Kgs),January_Flood Poil (Kgs),January_Flood Potato (Kgs),January_Flood Rice (Kgs),January_Flood Sugar HK (Kgs),January_Jowar (Kgs),January_RG Dal One kg Pkt (Kgs),January_Raagi (Kgs),January_SUGAR HALF KG (Kgs),January_WM Atta Pkt (Kgs),January_Whole Wheat Atta (Kgs),March_Cards,March_FRice (Kgs),March_Flood Dal (Kgs),March_Flood Onion (Kgs),March_Flood Poil (Kgs),March_Flood Potato (Kgs),March_Flood Rice (Kgs),March_Flood Sugar HK (Kgs),March_Jowar (Kgs),March_RG Dal One kg Pkt (Kgs),March_Raagi (Kgs),March_SUGAR HALF KG (Kgs),March_WM Atta Pkt (Kgs),March_Whole Wheat Atta (Kgs)
11,2026,Annamayya,B Kothakota,1005011,477,7892.00,0,0,0,0,0,0,300.00,0,0,509.00,0,0,583,9546.00,0,0,0,0,0,0,0,0,500.00,618.00,0,0,583,9581.00,0,0,0,0,0,0,0,0,500.00,618.00,0,0,551,9530.00,0,0,0,0,0,0,0,0,0,604.00,0,0
12,2026,Annamayya,B Kothakota,1005012,352,6543.00,0,0,0,0,0,0,7.00,0,0,370.00,0,0,331,6132.00,0,0,0,0,0,0,0,0,102.00,369.00,0,0,338,5909.00,0,0,0,0,0,0,0,0,374.00,372.00,0,0,364,6700.00,0,0,0,0,0,0,105.00,0,24.00,353.00,0,0
13,2026,Annamayya,B Kothakota,1005013,626,11556.00,0,0,0,0,0,0,0,0,0,714.00,0,0,589,10390.00,0,0,0,0,0,0,0,0,500.00,670.00,0,0,607,10730.00,0,0,0,0,0,0,0,0,500.00,687.00,0,0,621,11585.00,0,0,0,0,0,0,0,0,0,707.00,0,0
14,2026,Annamayya,B Kothakota,1005014,457,8620.00,0,0,0,0,0,0,0,0,0,27.00,0,0,437,8255.00,0,0,0,0,0,0,0,0,0,500.00,0,0,465,8385.00,0,0,0,0,0,0,0,0,200.00,461.00,0,0,461,8544.00,0,0,0,0,0,0,0,0,0,441.00,0,0
15,2026,Annamayya,B Kothakota,1005015,649,11165.00,0,0,0,0,0,0,0,0,0,640.00,0,0,682,11382.00,0,0,0,0,0,0,0,0,500.00,719.00,0,0,690,11412.00,0,0,0,0,0,0,0,0,500.00,719.00,0,0,650,11305.00,0,0,0,0,0,0,0,0,0,682.00,0,0
16,2026,Annamayya,B Kothakota,1005016,500,9575.00,0,0,0,0,0,0,0,0,0,579.00,0,0,496,9495.00,0,0,0,0,0,0,0,0,0,574.00,0,0,507,9483.00,0,0,0,0,0,0,0,0,200.00,600.00,0,0,514,9850.00,0,0,0,0,0,0,0,0,0,604.00,0,0
17,2026,Annamayya,B Kothakota,1005017,404,7650.00,0,0,0,0,0,0,109.00,0,28.00,462.00,0,0,398,7465.00,0,0,0,0,0,0,0,0,314.00,455.00,0,0,404,7358.00,0,0,0,0,0,0,0,0,500.00,471.00,0,0,402,7611.00,0,0,0,0,0,0,0,0,217.00,468.00,0,0
18,2026,Annamayya,B Kothakota,1005018,447,8550.00,0,0,0,0,0,0,0,0,0,504.00,0,0,444,8525.00,0,0,0,0,0,0,0,0,0,508.00,0,0,451,8160.00,0,0,0,0,0,0,0,0,400.00,515.00,0,0,439,8430.00,0,0,0,0,0,0,0,0,0,502.00,0,0
19,2026,Annamayya,B Kothakota,1005019,550,9725.00,0,0,0,0,0,0,0,0,0,621.00,0,0,543,9605.00,0,0,0,0,0,0,0,0,0,613.00,0,0,588,10030.00,0,0,0,0,0,0,0,0,300.00,658.00,0,0,558,9810.00,0,0,0,0,0,0,100.00,0,0,621.00,0,0
20,2026,Annamayya,B Kothakota,1005020,336,5665.00,0,0,0,0,0,0,0,0,0,374.00,0,0,338,5760.00,0,0,0,0,0,0,0,0,0,347.00,0,0,386,6284.00,0,0,0,0,0,0,0,0,200.00,424.00,0,0,317,5440.00,0,0,0,0,0,0,0,0,0,326.00,0,0
21,2026,Annamayya,B Kothakota,1005021,410,6920.00,0,0,0,0,0,0,194.00,0,0,440.00,0,0,390,6942.00,0,0,0,0,0,0,0,0,117.00,429.00,0,0,403,6905.00,0,0,0,0,0,0,0,0,269.00,440.00,0,0,395,6945.00,0,0,0,0,0,0,0,0,14.00,437.00,0,0
22,2026,Annamayya,B Kothakota,1005022,596,10940.00,0,0,0,0,0,0,100.00,0,0,683.00,0,0,610,10966.00,0,0,0,0,0,0,0,0,226.00,684.00,0,0,617,10962.00,0,0,0,0,0,0,0,0,427.00,684.00,0,0,609,10964.00,0,0,0,0,0,0,0,0,347.00,684.00,0,0
23,2026,Annamayya,B Kothakota,1005023,430,7940.00,0,0,0,0,0,0,38.00,0,27.00,494.00,0,0,434,7730.00,0,0,0,0,0,0,0,0,0,481.00,0,0,437,7864.00,0,0,0,0,0,0,0,0,57.00,497.00,0,0,409,7457.00,0,0,0,0,0,0,0,0,0,464.00,0,0
24,2026,Annamayya,B Kothakota,1005024,264,4610.00,0,0,0,0,0,0,0,0,0,0,0,0,262,4580.00,0,0,0,0,0,0,0,0,0,221.00,0,0,261,4480.00,0,0,0,0,0,0,0,0,0,280.00,0,0,264,4650.00,0,0,0,0,0,0,0,0,0,89.00,0,0
25,2026,Annamayya,B Kothakota,1005025,152,2695.00,0,0,0,0,0,0,0,0,0,169.00,0,0,147,2394.00,0,0,0,0,0,0,0,0,190.00,161.00,0,0,157,2571.00,0,0,0,0,0,0,0,0,150.00,170.00,0,0,150,2680.00,0,0,0,0,0,0,0,0,10.00,167.00,0,0
26,2026,Annamayya,B Kothakota,1005026,337,6195.00,0,0,0,0,0,0,0,0,0,395.00,0,0,344,6151.00,0,0,0,0,0,0,0,0,294.00,404.00,0,0,330,5965.00,0,0,0,0,0,0,0,0,200.00,389.00,0,0,301,5514.00,0,0,0,0,0,0,200.00,0,6.00,360.00,0,0
27,2026,Annamayya,B Kothakota,1005027,311,5258.00,0,0,0,0,0,0,353.00,0,0,346.00,0,0,308,4828.00,0,0,0,0,0,0,9.00,0,600.00,354.00,0,0,299,4521.00,0,0,0,0,0,0,3.00,0,800.00,339.00,0,0,298,5410.00,0,0,0,0,0,0,0,0,0,300.00,0,0
28,2026,Annamayya,B Kothakota,1005028,597,10875.00,0,0,0,0,0,0,0,0,0,703.00,0,0,610,11051.00,0,0,0,0,0,0,0,0,24.00,712.00,0,0,609,11084.00,0,0,0,0,0,0,0,0,6.00,639.00,0,0,608,11095.00,0,0,0,0,0,0,0,0,0,718.00,0,0
29,2026,Annamayya,B Kothakota,1005029,403,6664.00,0,0,0,0,0,0,173.00,0,0,446.00,0,0,414,6705.00,0,0,0,0,0,0,0,0,0,343.00,0,0,421,6830.00,0,0,0,0,0,0,0,0,200.00,297.00,0,0,391,6466.00,0,0,0,0,0,0,127.00,0,0,429.00,0,0
30,2026,Annamayya,B Kothakota,1005030,511,9015.00,0,0,0,0,0,0,0,0,0,580.00,0,0,539,9400.00,0,0,0,0,0,0,0,0,0,597.00,0,0,527,9265.00,0,0,0,0,0,0,0,0,0,588.00,0,0,521,9150.00,0,0,0,0,0,0,0,0,0,582.00,0,0
31,2026,Annamayya,B Kothakota,1005031,20,325.00,0,0,0,0,0,0,0,0,0,22.00,0,0,20,330.00,0,0,0,0,0,0,0,0,0,6.00,0,0,20,330.00,0,0,0,0,0,0,0,0,0,0,0,0,20,330.00,0,0,0,0,0,0,0,0,0,22.00,0,0
32,2026,Annamayya,B Kothakota,1005032,608,10820.00,0,0,0,0,0,0,0,0,0,451.00,0,0,603,10725.00,0,0,0,0,0,0,0,0,0,682.00,0,0,612,10625.00,0,0,0,0,0,0,0,0,306.00,500.00,0,0,609,10721.00,0,0,0,0,0,0,202.00,0,0,694.00,0,0
33,2026,Annamayya,B Kothakota,1005033,266,5104.00,0,0,0,0,0,0,0,0,0,296.00,0,0,268,5205.00,0,0,0,0,0,0,0,0,0,322.00,0,0,263,5020.00,0,0,0,0,0,0,0,0,0,260.00,0,0,266,5047.00,0,0,0,0,0,0,153.00,0,0,318.00,0,0
34,2026,Annamayya,B Kothakota,1005034,328,5270.00,0,0,0,0,0,0,0,0,0,351.00,0,0,312,4980.00,0,0,0,0,0,0,0,0,0,338.00,0,0,312,4850.00,0,0,0,0,0,0,0,0,0,313.00,0,0,326,5076.00,0,0,0,0,0,0,204.00,0,0,353.00,0,0
35,2026,Annamayya,B Kothakota,1005035,283,4905.00,0,0,0,0,0,0,0,0,0,0,0,0,289,5025.00,0,0,0,0,0,0,0,0,0,324.00,0,0,284,4965.00,0,0,0,0,0,0,0,0,0,324.00,0,0,279,4455.00,0,0,0,0,0,0,395.00,0,0,193.00,0,0
36,2026,Annamayya,Chinnamandem,1148001,305,4330.00,0,0,0,0,0,0,500.00,0,0,328.00,0,0,294,4640.00,0,0,0,0,0,0,0,0,0,317.00,0,0,315,4744.00,0,0,0,0,0,0,0,0,200.00,337.00,0,0,316,4955.00,0,0,0,0,0,0,0,0,0,340.00,0,0
37,2026,Annamayya,Chinnamandem,1148002,439,6938.00,0,0,0,0,0,0,200.00,0,0,465.00,0,0,444,7450.00,0,0,0,0,0,0,0,0,0,471.00,0,0,447,6915.00,0,0,0,0,0,0,0,0,500.00,469.00,0,0,433,7260.00,0,0,0,0,0,0,0,0,0,460.00,0,0
38,2026,Annamayya,Chinnamandem,1148003,380,6135.00,0,0,0,0,0,0,0,0,0,406.00,0,0,399,6191.00,0,0,0,0,0,0,259.00,0,0,186.00,0,0,402,5785.00,0,0,0,0,0,0,225.00,0,300.00,419.00,0,0,383,5860.00,0,0,0,0,0,0,0,0,0,383.00,0,0
39,2026,Annamayya,Chinnamandem,1148004,250,4037.00,0,0,0,0,0,0,39.00,0,40.00,270.00,0,0,253,4054.00,0,0,0,0,0,0,43.00,0,72.00,271.00,0,0,260,4205.00,0,0,0,0,0,0,28.00,0,42.00,278.00,0,0,257,4193.00,0,0,0,0,0,0,33.00,0,47.00,277.00,0,0
40,2026,Annamayya,Chinnamandem,1148005,275,4563.00,0,0,0,0,0,0,157.00,0,0,303.00,0,0,290,4912.00,0,0,0,0,0,0,0,0,18.00,315.00,0,0,299,4741.00,0,0,0,0,0,0,0,0,247.00,325.00,0,0,306,5266.00,0,0,0,0,0,0,0,0,9.00,335.00,0,0
41,2026,Annamayya,Chinnamandem,1148006,501,7955.00,0,0,0,0,0,0,662.00,0,0,520.00,0,0,496,7980.00,0,0,0,0,0,0,0,0,560.00,520.00,0,0,519,7710.00,0,0,0,0,0,0,490.00,0,725.00,520.00,0,0,475,7980.00,0,0,0,0,0,0,0,0,140.00,520.00,0,0
42,2026,Annamayya,Chinnamandem,1148007,920,15740.00,0,0,0,0,0,0,593.00,0,0,939.00,0,0,942,15767.00,0,0,0,0,0,0,0,0,1142.00,939.00,0,0,1000,15766.00,0,0,0,0,0,0,874.00,0,1358.00,939.00,0,0,891,15770.00,0,0,0,0,0,0,0,0,0,939.00,0,0
43,2026,Annamayya,Chinnamandem,1148008,527,9744.00,0,0,0,0,0,0,298.00,0,0,557.00,0,0,514,9648.00,0,0,0,0,0,0,6.00,0,78.00,467.00,0,0,445,8169.00,0,0,0,0,0,0,12.00,0,205.00,468.00,0,0,518,9815.00,0,0,0,0,0,0,0,0,0,549.00,0,0
44,2026,Annamayya,Chinnamandem,1148009,603,9447.00,0,0,0,0,0,0,654.00,0,20.00,662.00,0,0,588,9211.00,0,0,0,0,0,0,0,0,661.00,639.00,0,0,604,9130.00,0,0,0,0,0,0,399.00,0,638.00,658.00,0,0,623,10519.00,0,0,0,0,0,0,0,0,181.00,684.00,0,0
45,2026,Annamayya,Chinnamandem,1148010,227,3729.00,0,0,0,0,0,0,475.00,0,1.00,262.00,0,0,230,4085.00,0,0,0,0,0,0,0,0,0,261.00,0,0,227,3804.00,0,0,0,0,0,0,2.00,0,311.00,262.00,0,0,233,4188.00,0,0,0,0,0,0,0,0,0,264.00,0,0
46,2026,Annamayya,Chinnamandem,1148011,230,3527.00,0,0,0,0,0,0,196.00,0,0,226.00,0,0,219,3554.00,0,0,0,0,0,0,17.00,0,14.00,230.00,0,0,234,3545.00,0,0,0,0,0,0,75.00,0,178.00,234.00,0,0,219,3565.00,0,0,0,0,0,0,4.00,0,8.00,231.00,0,0
47,2026,Annamayya,Chinnamandem,1148012,200,2934.00,0,0,0,0,0,0,300.00,0,0,61.00,0,0,181,3044.00,0,0,0,0,0,0,0,0,0,64.00,0,0,182,2919.00,0,0,0,0,0,0,0,0,100.00,197.00,0,0,190,3211.00,0,0,0,0,0,0,0,0,0,200.00,0,0
48,2026,Annamayya,Chinnamandem,1148013,412,6312.00,0,0,0,0,0,0,387.00,0,0,441.00,0,0,436,7080.00,0,0,0,0,0,0,0,0,0,421.00,0,0,424,5842.00,0,0,0,0,0,0,1.00,0,1000.00,452.00,0,0,428,6970.00,0,0,0,0,0,0,0,0,0,453.00,0,0
49,2026,Annamayya,Chinnamandem,1148014,258,3861.00,0,0,0,0,0,0,299.00,0,0,283.00,0,0,242,3940.00,0,0,0,0,0,0,0,0,0,267.00,0,0,247,3804.00,0,0,0,0,0,0,0,0,201.00,265.00,0,0,246,4100.00,0,0,0,0,0,0,0,0,0,269.00,0,0
50,2026,Annamayya,Chinnamandem,1148015,250,3830.00,0,0,0,0,0,0,0,0,0,272.00,0,0,251,3812.00,0,0,0,0,0,0,0,0,0,273.00,0,0,277,4108.00,0,0,0,0,0,0,102.00,0,0,301.00,0,0,264,4090.00,0,0,0,0,0,0,0,0,0,287.00,0,0
51,2026,Annamayya,Chinnamandem,1148016,265,4035.00,0,0,0,0,0,0,500.00,0,0,289.00,0,0,255,4436.00,0,0,0,0,0,0,0,0,74.00,274.00,0,0,274,4093.00,0,0,0,0,0,0,0,0,626.00,293.00,0,0,262,4520.00,0,0,0,0,0,0,0,0,0,284.00,0,0
52,2026,Annamayya,Chinnamandem,1148017,496,8860.00,0,0,0,0,0,0,0,0,0,522.00,0,0,484,8545.00,0,0,0,0,0,0,14.00,0,0,508.00,0,0,484,7779.00,0,0,0,0,0,0,9.00,0,800.00,508.00,0,0,491,8830.00,0,0,0,0,0,0,0,0,0,518.00,0,0
53,2026,Annamayya,Chinnamandem,1148018,417,6743.00,0,0,0,0,0,0,0,0,0,307.00,0,0,430,7380.00,0,0,0,0,0,0,4.00,0,6.00,444.00,0,0,417,7057.00,0,0,0,0,0,0,59.00,0,48.00,420.00,0,0,420,7149.00,0,0,0,0,0,0,0,0,21.00,441.00,0,0
54,2026,Annamayya,Chinnamandem,1148019,262,4086.00,0,0,0,0,0,0,336.00,0,0,279.00,0,0,249,3997.00,0,0,0,0,0,0,0,0,155.00,268.00,0,0,255,3960.00,0,0,0,0,0,0,0,0,360.00,277.00,0,0,238,3989.00,0,0,0,0,0,0,0,0,1.00,256.00,0,0
55,2026,Annamayya,Chinnamandem,1148020,249,3759.00,0,0,0,0,0,0,99.00,0,2.00,256.00,0,0,254,3833.00,0,0,0,0,0,0,3.00,0,129.00,262.00,0,0,228,3269.00,0,0,0,0,0,0,161.00,0,45.00,234.00,0,0,245,3806.00,0,0,0,0,0,0,3.00,0,6.00,253.00,0,0
56,2026,Annamayya,Chinnamandem,1148021,262,3786.00,0,0,0,0,0,0,180.00,0,128.00,277.00,0,0,256,3944.00,0,0,0,0,0,0,92.00,0,48.00,271.00,0,0,269,3803.00,0,0,0,0,0,0,195.00,0,173.00,284.00,0,0,282,4284.00,0,0,0,0,0,0,0,0,153.00,298.00,0,0
57,2026,Annamayya,Chinnamandem,1148022,161,2475.00,0,0,0,0,0,0,0,0,150.00,176.00,0,0,162,2545.00,0,0,0,0,0,0,0,0,24.00,176.00,0,0,157,2444.00,0,0,0,0,0,0,0,0,105.00,171.00,0,0,166,2666.00,0,0,0,0,0,0,0,0,9.00,180.00,0,0
58,2026,Annamayya,Chinnamandem,1148023,497,7437.00,0,0,0,0,0,0,308.00,0,162.00,537.00,0,0,480,7648.00,0,0,0,0,0,0,50.00,0,107.00,521.00,0,0,494,7743.00,0,0,0,0,0,0,0,0,132.00,535.00,0,0,500,8052.00,0,0,0,0,0,0,0,0,18.00,542.00,0,0
59,2026,Annamayya,Chinnamandem,1148024,432,6950.00,0,0,0,0,0,0,0,0,0,470.00,0,0,408,6540.00,0,0,0,0,0,0,0,0,0,443.00,0,0,439,6727.00,0,0,0,0,0,0,0,0,283.00,475.00,0,0,435,7025.00,0,0,0,0,0,0,0,0,0,474.00,0,0
60,2026,Annamayya,Chinnamandem,1148025,442,7080.00,0,0,0,0,0,0,0,0,0,0,0,0,409,6700.00,0,0,0,0,0,0,0,0,0,0,0,0,421,6785.00,0,0,0,0,0,0,0,0,0,32.00,0,0,406,6570.00,0,0,0,0,0,0,0,0,0,300.00,0,0
61,2026,Annamayya,Chinnamandem,1148026,278,4774.00,0,0,0,0,0,0,28.00,0,18.00,125.00,0,0,323,5409.00,0,0,0,0,0,0,8.00,0,23.00,338.00,0,0,336,5439.00,0,0,0,0,0,0,57.00,0,192.00,361.00,0,0,307,5277.00,0,0,0,0,0,0,2.00,0,6.00,333.00,0,0
62,2026,Annamayya,Chowdepalle,1038001,827,15093.00,0,0,0,0,0,0,12.00,0,0,907.00,0,0,830,14969.00,0,0,0,0,0,0,41.00,0,0,905.00,0,0,833,15063.00,0,0,0,0,0,0,108.00,0,0,908.00,0,0,816,14924.00,0,0,0,0,0,0,11.00,0,0,892.00,0,0
63,2026,Annamayya,Chowdepalle,1038002,205,3575.00,0,0,0,0,0,0,75.00,0,0,213.00,0,0,193,3399.00,0,0,0,0,0,0,0,0,1.00,200.00,0,0,207,3575.00,0,0,0,0,0,0,0,0,0,214.00,0,0,206,3600.00,0,0,0,0,0,0,0,0,0,215.00,0,0
64,2026,Annamayya,Chowdepalle,1038003,286,4845.00,0,0,0,0,0,0,110.00,0,0,300.00,0,0,345,5955.00,0,0,0,0,0,0,0,0,0,289.00,0,0,341,5855.00,0,0,0,0,0,0,0,0,0,345.00,0,0,307,5355.00,0,0,0,0,0,0,0,0,0,321.00,0,0
65,2026,Annamayya,Chowdepalle,1038004,464,7945.00,0,0,0,0,0,0,0,0,0,489.00,0,0,467,7578.00,0,0,0,0,0,0,0,0,500.00,492.00,0,0,488,8355.00,0,0,0,0,0,0,0,0,0,516.00,0,0,449,7615.00,0,0,0,0,0,0,200.00,0,0,470.00,0,0
66,2026,Annamayya,Chowdepalle,1038005,633,10520.00,0,0,0,0,0,0,20.00,0,0,669.00,0,0,611,10245.00,0,0,0,0,0,0,125.00,0,0,640.00,0,0,614,10158.00,0,0,0,0,0,0,149.00,0,0,645.00,0,0,638,10109.00,0,0,0,0,0,0,126.00,0,0,639.00,0,0
67,2026,Annamayya,Chowdepalle,1038006,390,6310.00,0,0,0,0,0,0,408.00,0,0,395.00,0,0,366,6050.00,0,0,0,0,0,0,0,0,300.00,392.00,0,0,388,6348.00,0,0,0,0,0,0,302.00,0,0,397.00,0,0,370,5847.00,0,0,0,0,0,0,492.00,0,0,392.00,0,0
68,2026,Annamayya,Chowdepalle,1038007,254,4165.00,0,0,0,0,0,0,124.00,0,0,272.00,0,0,271,4229.00,0,0,0,0,0,0,8.00,0,298.00,272.00,0,0,255,4235.00,0,0,0,0,0,0,178.00,0,10.00,272.00,0,0,251,4179.00,0,0,0,0,0,0,4.00,0,0,272.00,0,0
69,2026,Annamayya,Chowdepalle,1038008,294,4439.00,0,0,0,0,0,0,300.00,0,0,309.00,0,0,314,5039.00,0,0,0,0,0,0,0,0,401.00,342.00,0,0,338,5515.00,0,0,0,0,0,0,200.00,0,0,359.00,0,0,322,5131.00,0,0,0,0,0,0,400.00,0,0,352.00,0,0
70,2026,Annamayya,Chowdepalle,1038009,301,4840.00,0,0,0,0,0,0,300.00,0,0,320.00,0,0,292,4659.00,0,0,0,0,0,0,0,0,200.00,310.00,0,0,290,4860.00,0,0,0,0,0,0,0,0,0,306.00,0,0,294,4751.00,0,0,0,0,0,0,100.00,0,0,304.00,0,0
71,2026,Annamayya,Chowdepalle,1038010,36,590.00,0,0,0,0,0,0,0,0,0,37.00,0,0,34,528.00,0,0,0,0,0,0,6.00,0,81.00,36.00,0,0,36,640.00,0,0,0,0,0,0,2.00,0,0,38.00,0,0,17,330.00,0,0,0,0,0,0,0,0,0,18.00,0,0
72,2026,Annamayya,Chowdepalle,1038011,328,5250.00,0,0,0,0,0,0,0,0,0,350.00,0,0,304,4586.00,0,0,0,0,0,0,0,0,386.00,321.00,0,0,338,4994.00,0,0,0,0,0,0,318.00,0,0,349.00,0,0,313,4949.00,0,0,0,0,0,0,206.00,0,0,330.00,0,0
73,2026,Annamayya,Chowdepalle,1038012,154,2194.00,0,0,0,0,0,0,129.00,0,0,158.00,0,0,162,2475.00,0,0,0,0,0,0,0,0,0,164.00,0,0,141,2185.00,0,0,0,0,0,0,0,0,0,143.00,0,0,154,2390.00,0,0,0,0,0,0,0,0,0,56.00,0,0
74,2026,Annamayya,Chowdepalle,1038013,251,4275.00,0,0,0,0,0,0,300.00,0,0,282.00,0,0,271,5055.00,0,0,0,0,0,0,0,0,0,300.00,0,0,287,4914.00,0,0,0,0,0,0,299.00,0,0,323.00,0,0,256,4740.00,0,0,0,0,0,0,0,0,0,50.00,0,0
75,2026,Annamayya,Chowdepalle,1038014,299,4465.00,0,0,0,0,0,0,300.00,0,0,302.00,0,0,262,4765.00,0,0,0,0,0,0,0,0,0,307.00,0,0,265,4575.00,0,0,0,0,0,0,300.00,0,0,307.00,0,0,239,4037.00,0,0,0,0,0,0,300.00,0,0,0,0,0
76,2026,Annamayya,Chowdepalle,1038015,367,6370.00,0,0,0,0,0,0,72.00,0,3.00,398.00,0,0,367,5909.00,0,0,0,0,0,0,95.00,0,381.00,396.00,0,0,375,6415.00,0,0,0,0,0,0,225.00,0,0,405.00,0,0,368,6525.00,0,0,0,0,0,0,0,0,0,397.00,0,0
